Title,Link,Runtime,Genres,Parental Guidelines,Stars
Only Murders in the Building,http://www.imdb.com/title/tt11691774,30 min,"['Comedy', 'Crime', 'Drama']",TV-MA,"['SteveMartin', 'MartinShort', 'SelenaGomez', 'MichaelCyrilCreighton']"
And Just Like That...,http://www.imdb.com/title/tt13819960,40 min,"['Comedy', 'Drama', 'Romance']",TV-MA,"['SarahJessicaParker', 'CynthiaNixon', 'KristinDavis', 'SaraRamirez']"
Foundation,http://www.imdb.com/title/tt0804484,60 min,"['Drama', 'Sci-Fi']",TV-14,"['JaredHarris', 'LouLlobell', 'TerrenceMann', 'LeePace']"
Invasion,http://www.imdb.com/title/tt9737326,60 min,"['Drama', 'Fantasy', 'Sci-Fi']",TV-MA,"['GolshiftehFarahani', 'ShamierAnderson', 'ShioliKutsuna', 'BillyBarratt']"
Ted Lasso,http://www.imdb.com/title/tt10986410,30 min,"['Comedy', 'Drama', 'Sport']",TV-MA,"['JasonSudeikis', 'BrettGoldstein', 'BrendanHunt', 'NickMohammed']"
Reservation Dogs,http://www.imdb.com/title/tt13623580,30 min,"['Comedy', 'Crime']",TV-MA,"[""D'PharaohWoon-A-Tai"", 'DeveryJacobs', 'LaneFactor', 'PaulinaAlexis']"
The White Lotus,http://www.imdb.com/title/tt13406094,60 min,"['Comedy', 'Drama']",TV-MA,"['JenniferCoolidge', 'JonGries', 'F.MurrayAbraham', 'AdamDiMarco']"
The Wheel of Time,http://www.imdb.com/title/tt7462410,60 min,"['Action', 'Adventure', 'Drama']",TV-14,"['RosamundPike', 'DanielHenney', 'MadeleineMadden', 'ZoëRobins']"
Yellowjackets,http://www.imdb.com/title/tt11041332,60 min,"['Drama', 'Horror', 'Mystery']",TV-MA,"['MelanieLynskey', 'TawnyCypress', 'SophieNélisse', 'JasminSavoyBrown']"
Cruel Summer,http://www.imdb.com/title/tt11083696,45 min,"['Drama', 'Mystery', 'Thriller']",TV-14,"['ChiaraAurelia', 'OliviaHolt', 'SadieStanley', 'LexiUnderwood']"
Solar Opposites,http://www.imdb.com/title/tt8910922,22 min,"['Animation', 'Adventure', 'Comedy']",TV-MA,"['ThomasMiddleditch', 'SeanGiambrone', 'MaryMack', 'SaganMcMahan']"
Sweet Magnolias,http://www.imdb.com/title/tt9077540,,"['Drama', 'Romance']",TV-14,"['JoAnnaGarciaSwisher', 'BrookeElliott', 'HeatherHeadley', 'LoganAllen']"
Physical,http://www.imdb.com/title/tt11828492,30 min,"['Comedy', 'Drama']",TV-MA,"['RoseByrne', 'RoryScovel', 'PaulSparks', 'DierdreFriel']"
Invincible,http://www.imdb.com/title/tt6741278,50 min,"['Animation', 'Action', 'Adventure']",TV-MA,"['StevenYeun', 'J.K.Simmons', 'SandraOh', 'ZazieBeetz']"
Loki,http://www.imdb.com/title/tt9140554,53 min,"['Action', 'Adventure', 'Fantasy']",TV-14,"['TomHiddleston', 'OwenWilson', 'GuguMbatha-Raw', 'SophiaDiMartino']"
Joe Pickett,http://www.imdb.com/title/tt14271652,50 min,"['Drama', 'Western']",TV-14,"['MichaelDorman', 'JuliannaGuill', 'SharonLawrence', 'MustafaSpeaks']"
Superman & Lois,http://www.imdb.com/title/tt11192306,42 min,"['Action', 'Adventure', 'Drama']",TV-PG,"['TylerHoechlin', 'ElizabethTulloch', 'AlexGarfin', 'ErikValdez']"
Bridgerton,http://www.imdb.com/title/tt8740790,60 min,"['Drama', 'History', 'Romance']",TV-MA,"['NicolaCoughlan', 'JulieAndrews', 'LukeNewton', 'ClaudiaJessie']"
Heels,http://www.imdb.com/title/tt6554240,60 min,"['Drama', 'Sport']",TV-MA,"['StephenAmell', 'AlexanderLudwig', 'AlisonLuff', 'MaryMcCormack']"
